
---------- Begin Simulation Statistics ----------
simSeconds                                   0.454161                       # Number of seconds simulated (Second)
simTicks                                 454160768000                       # Number of ticks simulated (Tick)
finalTick                                5654028608000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    313.63                       # Real time elapsed on the host (Second)
hostTickRate                               1448064373                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8522116                       # Number of bytes of host memory used (Byte)
simInsts                                    282049881                       # Number of instructions simulated (Count)
simOps                                      282064575                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   899299                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     899346                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
board.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 5654028608000                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.dptw_caches.demandHits::processor.cores.core.mmu.dtb.walker         2075                       # number of demand (read+write) hits (Count)
board.cache_hierarchy.dptw_caches.demandHits::total         2075                       # number of demand (read+write) hits (Count)
board.cache_hierarchy.dptw_caches.overallHits::processor.cores.core.mmu.dtb.walker         2075                       # number of overall hits (Count)
board.cache_hierarchy.dptw_caches.overallHits::total         2075                       # number of overall hits (Count)
board.cache_hierarchy.dptw_caches.demandMisses::processor.cores.core.mmu.dtb.walker           36                       # number of demand (read+write) misses (Count)
board.cache_hierarchy.dptw_caches.demandMisses::total           36                       # number of demand (read+write) misses (Count)
board.cache_hierarchy.dptw_caches.overallMisses::processor.cores.core.mmu.dtb.walker           36                       # number of overall misses (Count)
board.cache_hierarchy.dptw_caches.overallMisses::total           36                       # number of overall misses (Count)
board.cache_hierarchy.dptw_caches.demandMissLatency::processor.cores.core.mmu.dtb.walker      1881000                       # number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.dptw_caches.demandMissLatency::total      1881000                       # number of demand (read+write) miss ticks (Tick)
board.cache_hierarchy.dptw_caches.overallMissLatency::processor.cores.core.mmu.dtb.walker      1881000                       # number of overall miss ticks (Tick)
board.cache_hierarchy.dptw_caches.overallMissLatency::total      1881000                       # number of overall miss ticks (Tick)
